Test time, Test, Node, Response Time, Error
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Munich  Germany - Telefonica,0.581,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Munich  Germany - Telefonica,1.042,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.774,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),3.848,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Bangalore  India - TATA (VSNL),2.007,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Paris  France - Limelight,0.645,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Paris  France - Limelight,0.652,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.649,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Cable & Wireless,0.719,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.852,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Berlin  Germany - Versatel,0.418,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Madrid  Spain - Telefonica,1.08,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Madrid  Spain - Telefonica,0.509,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Rome  Italy - ITnet,0.563,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Rome  Italy - ITnet,0.442,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Washington  D.C. - Verizon,0.906,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Washington  D.C. - Verizon,0.728,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Verizon,0.55,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Telstra,0.511,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,London  UK - Telstra,0.157,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,London  UK - Verizon,0.749,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - NTT,2.014,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - NTT,3.383,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Paris  France - France Telecom,0.199,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Paris  France - France Telecom,0.476,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Tokyo  Japan - KDDI,3.316,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Tokyo  Japan - KDDI,1.723,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Barcelona  ES - Adam - IPv6,0.553,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,New York  NY - Sprint,1.042,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,New York  NY - Sprint,0.936,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Singapore  Singapore - Singtel,2.093,
03-03-2014 09:10, gskbio-origin-sbhardwa - FF Agent,Singapore  Singapore - Singtel,4.049,
03-03-2014 09:10, gskbio-akamai-sbhardwa - FF Agent,Dallas  TX - AT&T,1.303,
